Criterion ID,Task ID,Prompt,Specified Prompt,Workflow,Hurdle Tag,Criteria type,Criterion Grounding Check,Description
872,4,"Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.","Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.",Repairs,Hurdle,Describes specific procedural steps,Not Grounded,Recommends checking the circuit breaker for the upstairs bathroom
873,4,"Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.","Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.",Repairs,Not,Provides general DIY guidance and tips,Not Grounded,States that circuit breakers are often mislabeled
6099,4,"Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.","Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.",Repairs,Not,Describes specific procedural steps,Not Grounded,Recommends checking all circuit breakers in the panel
874,4,"Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.","Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.",Repairs,Not,Describes specific procedural steps,Not Grounded,Recommends looking for a tripped GFCI somewhere in the house other than the upstairs bathroom
875,4,"Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.","Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.",Repairs,Not,Describes specific procedural steps,Not Grounded,Recommends removing bathroom light bulbs one by one to identify potential faulty bulbs
876,4,"Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.","Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.",Repairs,Not,Describes specific procedural steps,Not Grounded,Recommends using an extension pole with a bulb basket or gripper on the end to change garage light bulbs
877,4,"Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.","Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.",Repairs,Not,Provides general DIY guidance and tips,Not Grounded,Recommends replacing garage light bulbs with long-life bulbs
878,4,"Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.","Persona: I am a first time homeowner. I am 35. I live in a suburb of Portland, Oregon.

Prompt: Two weeks ago I moved into a house built in 1993 and the first thing I noticed was that the light bulbs were awful. Whoever lived here before me just put whatever random bulb in every fixture. So I have gone through the whole house and replaced literally every light bulb in every fixture. I am happy with their quality now, and they all worked fine last night when I installed them. I walked around turning them all on and off, it was great! But after I slept overnight, there is a problem: in the upstairs bathroom, the lights don't turn on at all. I flip the switch and nothing happens! I just replaced six lightbulbs in there, so I am confused. There are two outlets in the bathroom but neither of them has a GFCI, so I don't think that's the problem.

Can you offer me a few troubleshooting options to diagnose what the bathroom light problem might be?

I also have one last set of light bulbs I couldn't get to: the ones in the ceiling of the 25 foot high garage. There are four regular bulbs up there and I think nobody has touched them in decades. Can you tell me how to change those bulbs too? I want to do it myself.",Repairs,Not,Provides safety warnings,Not Grounded,Recommends wearing safety glasses when changing garage light bulbs
22,9,"Persona: I'm a 47-year-old guy from Vancouver, Washington who has recently moved into a 30-year-old house. There's a half acre yard with a lot of fruit in it, and although I am a skilled home gardener with ornamentals, I don't know a darn thing about fruiting plants! I have hand pruners, loppers, and various saws, and am familiar with typical gardening techniques. I try to follow Extension Service guidance so I get things right.

Prompt: I have seven mature grape vines of unknown varieties (all I know is they are table grapes of some kind) and I need to prune them. It is currently early November and I just moved in. The leaves are turning yellow and some have fallen off, and the vines are pretty thick and woody. I can tell that there was fruit production this year and the vines are all growing in a sort of Y pattern, with a thick central column and long vines going off to the left and right on a wire. I need to know the following:

- What month(s) should I prune these?
- What pruning technique should I use to preserve the current growth pattern and spur fruit production?
- What should I expect in terms of fruit production, meaning which parts of the vine fruit when?
- What do I do about the yellow leaves?","Persona: I'm a 47-year-old guy from Vancouver, Washington who has recently moved into a 30-year-old house. There's a half acre yard with a lot of fruit in it, and although I am a skilled home gardener with ornamentals, I don't know a darn thing about fruiting plants! I have hand pruners, loppers, and various saws, and am familiar with typical gardening techniques. I try to follow Extension Service guidance so I get things right.

Prompt: I have seven mature grape vines of unknown varieties (all I know is they are table grapes of some kind) and I need to prune them. It is currently early November and I just moved in. The leaves are turning yellow and some have fallen off, and the vines are pretty thick and woody. I can tell that there was fruit production this year and the vines are all growing in a sort of Y pattern, with a thick central column and long vines going off to the left and right on a wire. I need to know the following:

- What month(s) should I prune these?
- What pruning technique should I use to preserve the current growth pattern and spur fruit production?
- What should I expect in terms of fruit production, meaning which parts of the vine fruit when?
- What do I do about the yellow leaves?",Repairs,Not,Recommends consulting a professional,Not Grounded,Recommends consulting a Oregon or Southwest Washington based Extension Service with experience in grape vine pruning
23,9,"Persona: I'm a 47-year-old guy from Vancouver, Washington who has recently moved into a 30-year-old house. There's a half acre yard with a lot of fruit in it, and although I am a skilled home gardener with ornamentals, I don't know a darn thing about fruiting plants! I have hand pruners, loppers, and various saws, and am familiar with typical gardening techniques. I try to follow Extension Service guidance so I get things right.

Prompt: I have seven mature grape vines of unknown varieties (all I know is they are table grapes of some kind) and I need to prune them. It is currently early November and I just moved in. The leaves are turning yellow and some have fallen off, and the vines are pretty thick and woody. I can tell that there was fruit production this year and the vines are all growing in a sort of Y pattern, with a thick central column and long vines going off to the left and right on a wire. I need to know the following:

- What month(s) should I prune these?
- What pruning technique should I use to preserve the current growth pattern and spur fruit production?
- What should I expect in terms of fruit production, meaning which parts of the vine fruit when?
- What do I do about the yellow leaves?","Persona: I'm a 47-year-old guy from Vancouver, Washington who has recently moved into a 30-year-old house. There's a half acre yard with a lot of fruit in it, and although I am a skilled home gardener with ornamentals, I don't know a darn thing about fruiting plants! I have hand pruners, loppers, and various saws, and am familiar with typical gardening techniques. I try to follow Extension Service guidance so I get things right.

Prompt: I have seven mature grape vines of unknown varieties (all I know is they are table grapes of some kind) and I need to prune them. It is currently early November and I just moved in. The leaves are turning yellow and some have fallen off, and the vines are pretty thick and woody. I can tell that there was fruit production this year and the vines are all growing in a sort of Y pattern, with a thick central column and long vines going off to the left and right on a wire. I need to know the following:

- What month(s) should I prune these?
- What pruning technique should I use to preserve the current growth pattern and spur fruit production?
- What should I expect in terms of fruit production, meaning which parts of the vine fruit when?
- What do I do about the yellow leaves?",Repairs,Not,Describes specific procedural steps,Not Grounded,Recommends pruning grape vines while the plant is dormant
