Criterion ID,Task ID,Prompt,Specified Prompt,Workflow,Hurdle Tag,Criteria type,Criterion Grounding Check,Description
8308,161,"Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes.","Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes. Please explicitly state whether your meal plan has each of the characteristics that I want.",Meal Plan,Not,Provides shopping/ingredient list,Not Grounded,Provides a list of ingredients for each recipe
3742,161,"Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes.","Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes. Please explicitly state whether your meal plan has each of the characteristics that I want.",Meal Plan,Hurdle,Meets quantity/duration requirement,Not Grounded,Provides a meal plan that covers five lunches (Monday to Friday)
3745,161,"Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes.","Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes. Please explicitly state whether your meal plan has each of the characteristics that I want.",Meal Plan,Not,Meets dietary requirements,Not Grounded,Does not recommend meals that contain gluten
3746,161,"Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes.","Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes. Please explicitly state whether your meal plan has each of the characteristics that I want.",Meal Plan,Not,Meets dietary requirements,Not Grounded,Does not recommend meals that contain rice or rice products
3743,161,"Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes.","Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes. Please explicitly state whether your meal plan has each of the characteristics that I want.",Meal Plan,Not,Meets dish feature requirements,Not Grounded,Recommends meals based on Japanese cuisine
3739,161,"Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes.","Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes. Please explicitly state whether your meal plan has each of the characteristics that I want.",Meal Plan,Not,Other,Not Grounded,Recommends consulting a nutritionist for advice on gluten and rice allergies
3744,161,"Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes.","Persona: I'm a 42-year-old woman and I've just started a new office job. It's in an industrial park and I haven't yet found any shops or decent restaurants nearby, so I'm going to cook for the next week and pack my lunch every day and so I need a collection of recipes. I have just been diagnosed with a gluten allergy, and so it's hard to find something to take to work. I was also recently diagnosed with a rice allergy. I was going to pack my lunch and eat only Japanese food, because that's my favourite, but now I'm not sure what I can eat that's Japanese but has no rice. 

Prompt: Help me with a week of recipes. Please explicitly state whether your meal plan has each of the characteristics that I want.",Meal Plan,Not,Provides preparation instructions,Not Grounded,Provides step-by-step instructions for each recommended recipe
8590,195,"Persona: I'm a 25-year-old shop assistant living in Italy. I work for a major Italian Fashion brand in a boutique located in Forte dei Marmi, a luxury seaside resort in Tuscany. The area is famous for its exclusive services, the Michelin-starred restaurants, and the high-profile tourism. During the busy summer season, I work from 2 pm to 1 am, with only one hour for a dinner break on weekends. I can't go home because I won't be back on time, so lately I've been relying on chocolate bars for dinner. I'm constantly tired and I struggle to stay alert all evening. I'd like to start eating something more balanced and filling, but I don't know what. My dinner break is usually spent sitting on a bench or in my car; I don't have a table where I can put plates and cutlery. To make things harder, I'm also celiac. I'm a skilled cook and I will prepare my meals 2 hours before going to work. I'm thinking at least 600 calories. 

Prompt: Please suggest a 2-day meal plan for my breaks","Persona: I'm a 25-year-old shop assistant living in Italy. I work for a major Italian Fashion brand in a boutique located in Forte dei Marmi, a luxury seaside resort in Tuscany. The area is famous for its exclusive services, the Michelin-starred restaurants, and the high-profile tourism. During the busy summer season, I work from 2 pm to 1 am, with only one hour for a dinner break on weekends. I can't go home because I won't be back on time, so lately I've been relying on chocolate bars for dinner. I'm constantly tired and I struggle to stay alert all evening. I'd like to start eating something more balanced and filling, but I don't know what. My dinner break is usually spent sitting on a bench or in my car; I don't have a table where I can put plates and cutlery. To make things harder, I'm also celiac. I'm a skilled cook and I will prepare my meals 2 hours before going to work. I'm thinking at least 600 calories. 

Prompt: Please suggest a 2-day meal plan for my breaks Please explicitly state whether your meal plan has each of the characteristics that I want.",Meal Plan,Not,Meets dietary requirements,Not Grounded,"Provides balanced meals that contain all of the following: complex carbs, lean proteins, healthy fats"
8594,195,"Persona: I'm a 25-year-old shop assistant living in Italy. I work for a major Italian Fashion brand in a boutique located in Forte dei Marmi, a luxury seaside resort in Tuscany. The area is famous for its exclusive services, the Michelin-starred restaurants, and the high-profile tourism. During the busy summer season, I work from 2 pm to 1 am, with only one hour for a dinner break on weekends. I can't go home because I won't be back on time, so lately I've been relying on chocolate bars for dinner. I'm constantly tired and I struggle to stay alert all evening. I'd like to start eating something more balanced and filling, but I don't know what. My dinner break is usually spent sitting on a bench or in my car; I don't have a table where I can put plates and cutlery. To make things harder, I'm also celiac. I'm a skilled cook and I will prepare my meals 2 hours before going to work. I'm thinking at least 600 calories. 

Prompt: Please suggest a 2-day meal plan for my breaks","Persona: I'm a 25-year-old shop assistant living in Italy. I work for a major Italian Fashion brand in a boutique located in Forte dei Marmi, a luxury seaside resort in Tuscany. The area is famous for its exclusive services, the Michelin-starred restaurants, and the high-profile tourism. During the busy summer season, I work from 2 pm to 1 am, with only one hour for a dinner break on weekends. I can't go home because I won't be back on time, so lately I've been relying on chocolate bars for dinner. I'm constantly tired and I struggle to stay alert all evening. I'd like to start eating something more balanced and filling, but I don't know what. My dinner break is usually spent sitting on a bench or in my car; I don't have a table where I can put plates and cutlery. To make things harder, I'm also celiac. I'm a skilled cook and I will prepare my meals 2 hours before going to work. I'm thinking at least 600 calories. 

Prompt: Please suggest a 2-day meal plan for my breaks Please explicitly state whether your meal plan has each of the characteristics that I want.",Meal Plan,Not,Meets dietary requirements,Not Grounded,Recommends meals that provide at least 600kcal each
4840,195,"Persona: I'm a 25-year-old shop assistant living in Italy. I work for a major Italian Fashion brand in a boutique located in Forte dei Marmi, a luxury seaside resort in Tuscany. The area is famous for its exclusive services, the Michelin-starred restaurants, and the high-profile tourism. During the busy summer season, I work from 2 pm to 1 am, with only one hour for a dinner break on weekends. I can't go home because I won't be back on time, so lately I've been relying on chocolate bars for dinner. I'm constantly tired and I struggle to stay alert all evening. I'd like to start eating something more balanced and filling, but I don't know what. My dinner break is usually spent sitting on a bench or in my car; I don't have a table where I can put plates and cutlery. To make things harder, I'm also celiac. I'm a skilled cook and I will prepare my meals 2 hours before going to work. I'm thinking at least 600 calories. 

Prompt: Please suggest a 2-day meal plan for my breaks","Persona: I'm a 25-year-old shop assistant living in Italy. I work for a major Italian Fashion brand in a boutique located in Forte dei Marmi, a luxury seaside resort in Tuscany. The area is famous for its exclusive services, the Michelin-starred restaurants, and the high-profile tourism. During the busy summer season, I work from 2 pm to 1 am, with only one hour for a dinner break on weekends. I can't go home because I won't be back on time, so lately I've been relying on chocolate bars for dinner. I'm constantly tired and I struggle to stay alert all evening. I'd like to start eating something more balanced and filling, but I don't know what. My dinner break is usually spent sitting on a bench or in my car; I don't have a table where I can put plates and cutlery. To make things harder, I'm also celiac. I'm a skilled cook and I will prepare my meals 2 hours before going to work. I'm thinking at least 600 calories. 

Prompt: Please suggest a 2-day meal plan for my breaks Please explicitly state whether your meal plan has each of the characteristics that I want.",Meal Plan,Hurdle,Meets quantity/duration requirement,Not Grounded,Provides dinner plans for two days
