Criterion ID,Task ID,Prompt,Specified Prompt,Workflow,Hurdle Tag,Criteria type,Criterion Grounding Check,Description
6072,276,"Persona: I'm designing a 4-player couch co-op game with side scrolling. The camera focuses on player 1, but sometimes when other players fall behind, they don't appear on screen. 

Prompt: I don't want to forcibly move any player's location. Please provide 3 solutions to keep all players constantly displayed on the screen, along with the names of games that use those mechanisms.","Persona: I'm designing a 4-player couch co-op game with side scrolling. The camera focuses on player 1, but sometimes when other players fall behind, they don't appear on screen. 

Prompt: I don't want to forcibly move any player's location. Please provide 3 solutions to keep all players constantly displayed on the screen, along with the names of games that use those mechanisms. Please explicitly state whether each of your recommendations meets each of the design features that I want. Include the source or purchase links, and prices if applicable.",Game Design,Not,Meets quantity requirement,Not Grounded,Recommends three solutions
6073,276,"Persona: I'm designing a 4-player couch co-op game with side scrolling. The camera focuses on player 1, but sometimes when other players fall behind, they don't appear on screen. 

Prompt: I don't want to forcibly move any player's location. Please provide 3 solutions to keep all players constantly displayed on the screen, along with the names of games that use those mechanisms.","Persona: I'm designing a 4-player couch co-op game with side scrolling. The camera focuses on player 1, but sometimes when other players fall behind, they don't appear on screen. 

Prompt: I don't want to forcibly move any player's location. Please provide 3 solutions to keep all players constantly displayed on the screen, along with the names of games that use those mechanisms. Please explicitly state whether each of your recommendations meets each of the design features that I want. Include the source or purchase links, and prices if applicable.",Game Design,Not,Meets game/strategy feature requirement,Not Grounded,Does not recommends solutions that change players' locations
6074,276,"Persona: I'm designing a 4-player couch co-op game with side scrolling. The camera focuses on player 1, but sometimes when other players fall behind, they don't appear on screen. 

Prompt: I don't want to forcibly move any player's location. Please provide 3 solutions to keep all players constantly displayed on the screen, along with the names of games that use those mechanisms.","Persona: I'm designing a 4-player couch co-op game with side scrolling. The camera focuses on player 1, but sometimes when other players fall behind, they don't appear on screen. 

Prompt: I don't want to forcibly move any player's location. Please provide 3 solutions to keep all players constantly displayed on the screen, along with the names of games that use those mechanisms. Please explicitly state whether each of your recommendations meets each of the design features that I want. Include the source or purchase links, and prices if applicable.",Game Design,Hurdle,Meets game/strategy feature requirement,Not Grounded,Recommends solutions that ensure all players exist on screen
6075,276,"Persona: I'm designing a 4-player couch co-op game with side scrolling. The camera focuses on player 1, but sometimes when other players fall behind, they don't appear on screen. 

Prompt: I don't want to forcibly move any player's location. Please provide 3 solutions to keep all players constantly displayed on the screen, along with the names of games that use those mechanisms.","Persona: I'm designing a 4-player couch co-op game with side scrolling. The camera focuses on player 1, but sometimes when other players fall behind, they don't appear on screen. 

Prompt: I don't want to forcibly move any player's location. Please provide 3 solutions to keep all players constantly displayed on the screen, along with the names of games that use those mechanisms. Please explicitly state whether each of your recommendations meets each of the design features that I want. Include the source or purchase links, and prices if applicable.",Game Design,Not,Provides game/strategy explanation,Not Grounded,Provides an example game for each of the recommended solutions
6076,276,"Persona: I'm designing a 4-player couch co-op game with side scrolling. The camera focuses on player 1, but sometimes when other players fall behind, they don't appear on screen. 

Prompt: I don't want to forcibly move any player's location. Please provide 3 solutions to keep all players constantly displayed on the screen, along with the names of games that use those mechanisms.","Persona: I'm designing a 4-player couch co-op game with side scrolling. The camera focuses on player 1, but sometimes when other players fall behind, they don't appear on screen. 

Prompt: I don't want to forcibly move any player's location. Please provide 3 solutions to keep all players constantly displayed on the screen, along with the names of games that use those mechanisms. Please explicitly state whether each of your recommendations meets each of the design features that I want. Include the source or purchase links, and prices if applicable.",Game Design,Not,Meets game/strategy feature requirement,Not Grounded,Recommends solutions that can be applied to side-scrolling games
7340,366,"Persona: We are playing Ludo King (released on February 20, 2016 by Gametion Global Technologies). It’s the mid-game stage and I just rolled a six. I have four red pawns: Pawn A is on tile 17, Pawn B is on tile 35 (a safe zone), Pawn C and D are still in the base.
Player 2 (green) has one pawn approaching home at tile 46 and 3 pawns reached home.
Player 3 (yellow) just advanced to tile 18, with 2 pawns in the base and 1 pawn reached home.
Player 4 (blue) has two pawns grouped at tiles 27 and 30, with 2 pawns reached home.


Prompt: Which next move will be my best move? What are the risks for the other two options? After playing that next move, what are the two best dice rolls I should hope for?","Persona: We are playing Ludo King (released on February 20, 2016 by Gametion Global Technologies). It’s the mid-game stage and I just rolled a six. I have four red pawns: Pawn A is on tile 17, Pawn B is on tile 35 (a safe zone), Pawn C and D are still in the base.
Player 2 (green) has one pawn approaching home at tile 46 and 3 pawns reached home.
Player 3 (yellow) just advanced to tile 18, with 2 pawns in the base and 1 pawn reached home.
Player 4 (blue) has two pawns grouped at tiles 27 and 30, with 2 pawns reached home.


Prompt: Which next move will be my best move? What are the risks for the other two options? After playing that next move, what are the two best dice rolls I should hope for? Please explicitly state whether each of your recommendations meets each of the strategy features that I want. Include the source or purchase links, and prices if applicable.",Game Tactics,Hurdle,Provides instruction for using recommended strategy,Not Grounded,States that moving Pawn B is the best move
7342,366,"Persona: We are playing Ludo King (released on February 20, 2016 by Gametion Global Technologies). It’s the mid-game stage and I just rolled a six. I have four red pawns: Pawn A is on tile 17, Pawn B is on tile 35 (a safe zone), Pawn C and D are still in the base.
Player 2 (green) has one pawn approaching home at tile 46 and 3 pawns reached home.
Player 3 (yellow) just advanced to tile 18, with 2 pawns in the base and 1 pawn reached home.
Player 4 (blue) has two pawns grouped at tiles 27 and 30, with 2 pawns reached home.


Prompt: Which next move will be my best move? What are the risks for the other two options? After playing that next move, what are the two best dice rolls I should hope for?","Persona: We are playing Ludo King (released on February 20, 2016 by Gametion Global Technologies). It’s the mid-game stage and I just rolled a six. I have four red pawns: Pawn A is on tile 17, Pawn B is on tile 35 (a safe zone), Pawn C and D are still in the base.
Player 2 (green) has one pawn approaching home at tile 46 and 3 pawns reached home.
Player 3 (yellow) just advanced to tile 18, with 2 pawns in the base and 1 pawn reached home.
Player 4 (blue) has two pawns grouped at tiles 27 and 30, with 2 pawns reached home.


Prompt: Which next move will be my best move? What are the risks for the other two options? After playing that next move, what are the two best dice rolls I should hope for? Please explicitly state whether each of your recommendations meets each of the strategy features that I want. Include the source or purchase links, and prices if applicable.",Game Tactics,Not,Provides game/strategy explanation,Not Grounded,States that the risk of moving Pawn A is being captured by Yellow's pawn
7344,366,"Persona: We are playing Ludo King (released on February 20, 2016 by Gametion Global Technologies). It’s the mid-game stage and I just rolled a six. I have four red pawns: Pawn A is on tile 17, Pawn B is on tile 35 (a safe zone), Pawn C and D are still in the base.
Player 2 (green) has one pawn approaching home at tile 46 and 3 pawns reached home.
Player 3 (yellow) just advanced to tile 18, with 2 pawns in the base and 1 pawn reached home.
Player 4 (blue) has two pawns grouped at tiles 27 and 30, with 2 pawns reached home.


Prompt: Which next move will be my best move? What are the risks for the other two options? After playing that next move, what are the two best dice rolls I should hope for?","Persona: We are playing Ludo King (released on February 20, 2016 by Gametion Global Technologies). It’s the mid-game stage and I just rolled a six. I have four red pawns: Pawn A is on tile 17, Pawn B is on tile 35 (a safe zone), Pawn C and D are still in the base.
Player 2 (green) has one pawn approaching home at tile 46 and 3 pawns reached home.
Player 3 (yellow) just advanced to tile 18, with 2 pawns in the base and 1 pawn reached home.
Player 4 (blue) has two pawns grouped at tiles 27 and 30, with 2 pawns reached home.


Prompt: Which next move will be my best move? What are the risks for the other two options? After playing that next move, what are the two best dice rolls I should hope for? Please explicitly state whether each of your recommendations meets each of the strategy features that I want. Include the source or purchase links, and prices if applicable.",Game Tactics,Not,Provides game/strategy explanation,Not Grounded,States that 5 is one of the best next dice rolls
7343,366,"Persona: We are playing Ludo King (released on February 20, 2016 by Gametion Global Technologies). It’s the mid-game stage and I just rolled a six. I have four red pawns: Pawn A is on tile 17, Pawn B is on tile 35 (a safe zone), Pawn C and D are still in the base.
Player 2 (green) has one pawn approaching home at tile 46 and 3 pawns reached home.
Player 3 (yellow) just advanced to tile 18, with 2 pawns in the base and 1 pawn reached home.
Player 4 (blue) has two pawns grouped at tiles 27 and 30, with 2 pawns reached home.


Prompt: Which next move will be my best move? What are the risks for the other two options? After playing that next move, what are the two best dice rolls I should hope for?","Persona: We are playing Ludo King (released on February 20, 2016 by Gametion Global Technologies). It’s the mid-game stage and I just rolled a six. I have four red pawns: Pawn A is on tile 17, Pawn B is on tile 35 (a safe zone), Pawn C and D are still in the base.
Player 2 (green) has one pawn approaching home at tile 46 and 3 pawns reached home.
Player 3 (yellow) just advanced to tile 18, with 2 pawns in the base and 1 pawn reached home.
Player 4 (blue) has two pawns grouped at tiles 27 and 30, with 2 pawns reached home.


Prompt: Which next move will be my best move? What are the risks for the other two options? After playing that next move, what are the two best dice rolls I should hope for? Please explicitly state whether each of your recommendations meets each of the strategy features that I want. Include the source or purchase links, and prices if applicable.",Game Tactics,Not,Provides game/strategy explanation,Not Grounded,States that the risk of moving a pawn from the base is failing to prevent Player 2 from winning
8081,366,"Persona: We are playing Ludo King (released on February 20, 2016 by Gametion Global Technologies). It’s the mid-game stage and I just rolled a six. I have four red pawns: Pawn A is on tile 17, Pawn B is on tile 35 (a safe zone), Pawn C and D are still in the base.
Player 2 (green) has one pawn approaching home at tile 46 and 3 pawns reached home.
Player 3 (yellow) just advanced to tile 18, with 2 pawns in the base and 1 pawn reached home.
Player 4 (blue) has two pawns grouped at tiles 27 and 30, with 2 pawns reached home.


Prompt: Which next move will be my best move? What are the risks for the other two options? After playing that next move, what are the two best dice rolls I should hope for?","Persona: We are playing Ludo King (released on February 20, 2016 by Gametion Global Technologies). It’s the mid-game stage and I just rolled a six. I have four red pawns: Pawn A is on tile 17, Pawn B is on tile 35 (a safe zone), Pawn C and D are still in the base.
Player 2 (green) has one pawn approaching home at tile 46 and 3 pawns reached home.
Player 3 (yellow) just advanced to tile 18, with 2 pawns in the base and 1 pawn reached home.
Player 4 (blue) has two pawns grouped at tiles 27 and 30, with 2 pawns reached home.


Prompt: Which next move will be my best move? What are the risks for the other two options? After playing that next move, what are the two best dice rolls I should hope for? Please explicitly state whether each of your recommendations meets each of the strategy features that I want. Include the source or purchase links, and prices if applicable.",Game Tactics,Not,Provides game/strategy explanation,Not Grounded,States that 6 is one of the best next dice rolls
