Criterion ID,Task ID,Prompt,Specified Prompt,Workflow,Hurdle Tag,Criteria type,Criterion Grounding Check,Description,Shop vs. Product
13676,312,"Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone.","Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Bargain Hunting,Not,Meets quantity requirement,Not Grounded,Recommends at least one smartphone,Product
13677,312,"Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone.","Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Bargain Hunting,Hurdle,Meets pricing requirements/gives price,Grounded,Recommends only smartphones priced less than £58,Product
13678,312,"Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone.","Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Bargain Hunting,Not,Provides link(s),Grounded,Provides a link to purchase the recommended smartphones,Product
13680,312,"Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone.","Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Bargain Hunting,Not,Meets product/vendor feature,Grounded,Recommends only smartphones with 4 GB or more of RAM,Product
13681,312,"Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone.","Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Bargain Hunting,Not,Meets product/vendor feature,Grounded,Recommends only smartphones with 128 GB or more of internal storage,Product
13688,312,"Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone.","Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Bargain Hunting,Not,Meets product/vendor feature,Grounded,"Recommends only smartphones with at least a 5,200 mAh battery",Product
13689,312,"Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone.","Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Bargain Hunting,Not,Meets product/vendor feature,Grounded,Recommends only smartphones with a 32 MP or higher resolution main camera,Product
13690,312,"Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone.","Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Bargain Hunting,Not,Meets product/vendor feature,Grounded,Recommends only smartphones with a screen size of less than 7 inches,Product
13691,312,"Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone.","Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Bargain Hunting,Not,Meets pricing requirements/gives price,Grounded,States whether the smartphone(s) is on sale at a reduced price,Product
13717,312,"Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone.","Persona: Christmas is in 6 weeks' time, and I am going to start buying presents today. My 12-year-old son wants a mobile phone; we have refused him a phone until now. I am going to get him one as a surprise for Christmas.

Prompt: I want a new smartphone phone that costs less than £58... let me know if there's a sale. I did some research and I want the phone to have 4 GB or more of RAM, 128 GB or more of internal storage, a 5,200 mAh or bigger battery, and a 32 MP or higher resolution main camera. I do not want the phone to be too big for my son, so I think the screen size should be less than 7 inches. Please recommend a phone. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Bargain Hunting,Not,Meets product/vendor feature,Grounded,Recommends only new smartphones,Product
